time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance
1024,1,1816,0,,,,,,,,,,,
2048,2,1300,1,0.008858781,-0.007002640730934218,1.0059335231781006,0.13783031702041626,1.0609044589102268,0.2,-1.4209880590438844,0.090625,0.0003,10,0.0085524320602417
3072,3,1147,2,0.0045257537,-0.005104010080685839,1.0031533241271973,-0.005593538749963045,0.018983996415045112,0.2,-1.4245198994874955,0.0134765625,0.0003,20,0.46260833740234375
4096,4,1040,3,0.0020342772,-0.0007112421066267416,0.9985926747322083,0.25967276096343994,0.6487796504050494,0.2,-1.4195351600646973,0.00263671875,0.0003,30,0.11695176362991333
5120,5,1000,5,0.0037083775,-0.0027744852588512,0.9986827373504639,0.03855946660041809,0.09234864311292768,0.2,-1.4168136581778525,0.0181640625,0.0003,40,0.5827792286872864
6144,6,1009,6,0.008413877,-0.011467566288774832,1.000333309173584,0.017730984836816788,0.0710314020048827,0.2,-1.4182364970445633,0.09306640625,0.0003,50,0.7880110889673233
7168,7,958,7,0.005858898,-0.006194981507724151,0.9832397699356079,0.012450831942260265,0.04117424746509642,0.2,-1.4118500292301177,0.03330078125,0.0003,60,0.882572777569294
8192,8,961,8,0.009669386,-0.008352836966514588,0.9950447082519531,-0.007517216261476278,0.025797693600179628,0.2,-1.4055936843156815,0.07841796875,0.0003,70,0.8868334218859673
9216,9,959,9,0.010522295,-0.010982466908171774,0.9999693632125854,-0.0023748644161969423,0.015278736862819641,0.2,-1.4168922141194344,0.1193359375,0.0003,80,0.8815450444817543
10240,10,972,10,0.0060779406,-0.005341339076403528,1.0008494853973389,-0.013903015293180943,0.032541829324327406,0.2,-1.420544147491455,0.05,0.0003,90,0.21327680349349976
11264,11,979,11,0.0026593585,-0.0008970626426162198,1.003616452217102,0.009883271530270576,0.0864706308580935,0.2,-1.4202533185482025,0.0171875,0.0003,100,-2.331825017929077
12288,12,986,12,0.007287429,-0.00654953719349578,1.0090863704681396,-0.003921659663319588,0.052691041096113625,0.2,-1.4254788026213645,0.0751953125,0.0003,110,0.24808037281036377
13312,13,971,13,0.013199961,-0.019075947056990117,1.0053375959396362,-0.017406005412340164,0.008876178052742035,0.2,-1.4266199886798858,0.17021484375,0.0003,120,0.8690845668315887
14336,14,969,14,0.018787354,-0.031709259853232655,1.0021421909332275,-0.019192826002836227,0.0049135936540551485,0.2,-1.4228530094027518,0.20673828125,0.0003,130,0.967511672526598
15360,15,963,15,0.014116483,-0.02667481986572966,0.99271559715271,-0.04029164835810661,0.00256129546178272,0.2,-1.4176008626818657,0.15244140625,0.0003,140,0.9036481603980064
16384,16,956,17,0.01485754,-0.027391525648999958,0.9896097183227539,-0.06456778198480606,0.0013764863790129312,0.2,-1.4104124665260316,0.18974609375,0.0003,150,0.7659330368041992
17408,17,942,18,0.0049916813,-0.0035668412048835306,0.9970703721046448,0.04660920798778534,0.11863087844103574,0.2,-1.4116994753479957,0.03203125,0.0003,160,0.10593163967132568
18432,18,948,19,0.0043512806,-0.0034757819958031178,0.9953703284263611,0.024221226572990417,0.0984575517475605,0.2,-1.4152552992105485,0.03505859375,0.0003,170,0.4187726378440857
19456,19,918,21,0.0041446993,-0.0031001351133454593,0.9943875074386597,0.03069772943854332,0.0801558654755354,0.2,-1.4141711190342903,0.033203125,0.0003,180,0.35412198305130005
20480,20,913,22,0.0053214505,-0.005848106974735856,0.9939135909080505,0.01662358269095421,0.03222329772543162,0.2,-1.4129312381148338,0.05439453125,0.0003,190,0.6994273066520691
21504,21,874,24,0.014485627,-0.023954659065930174,0.985523521900177,-0.04247162118554115,0.009275159344542771,0.2,-1.4091991752386093,0.1912109375,0.0003,200,0.8951781839132309
22528,22,836,26,0.011267939,-0.01617558991711121,0.9742400050163269,-0.011799882166087627,0.00678031746938359,0.2,-1.3992672696709634,0.13349609375,0.0003,210,0.8313083350658417
23552,23,834,28,0.010847284,-0.010907352226786316,0.9808266758918762,-0.00833699107170105,0.005614507498103194,0.2,-1.394885917007923,0.08525390625,0.0003,220,0.834701344370842
24576,24,820,29,0.010904003,-0.013809089810820296,0.9814528226852417,-0.028546465560793877,0.004357593199529219,0.2,-1.4000936657190324,0.1279296875,0.0003,230,0.865672379732132
25600,25,807,31,0.002779364,-0.00152886948781088,0.9692735075950623,0.0012204938102513552,0.0048857830624911,0.2,-1.393852072954178,0.009765625,0.0003,240,0.9146308675408363
26624,26,806,33,0.0064159483,-0.008570346326450817,0.9601386785507202,-0.009540202096104622,0.0024781693959084806,0.2,-1.3836373329162597,0.06474609375,0.0003,250,0.9582660794258118
27648,27,803,34,0.0059767133,-0.006889441609382629,0.958528459072113,0.0009778193198144436,0.0022315501984849105,0.2,-1.376285147666931,0.06787109375,0.0003,260,0.9420537054538727
28672,28,797,35,0.008916784,-0.00927958951506298,0.9543536305427551,-0.00504659116268158,0.0011033974849851802,0.2,-1.374348060786724,0.10478515625,0.0003,270,0.974243612959981
29696,29,799,37,0.008887637,-0.015447636230965145,0.9476218819618225,-0.025781316682696342,0.0006146339719634852,0.2,-1.3695881381630897,0.12490234375,0.0003,280,0.9818002246320248
30720,30,790,38,0.0068612276,-0.0057912649412173774,0.9352038502693176,-0.023489395156502724,0.0005215730694544618,0.2,-1.3590523615479468,0.0478515625,0.0003,290,0.980167692527175
31744,31,787,40,0.008285269,-0.011021813272964209,0.9250445365905762,-0.0008373183663934469,0.0001816047277316102,0.2,-1.3469089940190315,0.078125,0.0003,300,0.978056663647294
32768,32,789,41,0.0076706493,-0.010558756109094247,0.9119561910629272,-0.018554402515292168,0.00014600999720641993,0.2,-1.3350555375218391,0.07685546875,0.0003,310,0.9769501201808453
33792,33,786,42,0.0060990877,-0.00974021633155644,0.9005725383758545,-0.003614352783188224,0.00019697377429110928,0.2,-1.3218759804964066,0.076953125,0.0003,320,0.9718095995485783
34816,34,789,44,0.005735382,-0.007091474311891943,0.8928607702255249,-0.0014232173562049866,0.0001406998590027797,0.2,-1.310356119275093,0.06142578125,0.0003,330,0.9703953210264444
